192,85,21 90,16,253 145,190,128 122,43,91 32,127,112 227,75,22 122,205,215 93,170,59 57,46,159 144,177,54 231,83,194 159,97,230 185,43,46 247,168,249 96,84,250 121,233,84 
20,211,33 41,207,27 59,156,231 83,15,11 215,215,100 83,70,96 199,137,149 85,88,87 135,186,18 159,86,242 54,113,239 159,91,125 108,206,133 223,209,237 126,74,59 207,212,252 
105,234,135 158,170,129 160,216,36 108,235,70 195,141,134 144,215,163 245,197,191 75,166,118 87,237,240 17,55,211 95,150,245 81,69,146 134,225,244 66,84,189 70,140,225 83,207,58 
245,152,82 244,85,65 217,237,252 87,39,59 79,24,68 70,3,214 166,180,144 112,41,246 23,100,213 99,58,31 67,245,162 110,193,190 121,180,16 9,92,78 177,106,255 250,50,126 
112,70,218 170,218,211 188,220,28 192,37,21 152,235,22 99,61,172 99,199,101 156,212,37 46,154,92 200,43,7 207,109,252 16,246,194 217,169,184 39,134,115 9,199,98 151,27,147 
145,188,42 31,187,106 109,112,220 123,26,128 38,129,189 113,116,189 65,254,31 32,86,228 127,96,187 119,76,243 140,201,219 245,34,185 22,170,29 124,168,223 8,19,133 250,59,181 
153,172,89 82,198,83 61,209,74 123,180,183 54,216,168 6,110,80 52,202,190 200,207,198 105,204,61 190,1,3 122,243,212 9,104,97 224,56,117 225,155,115 146,246,40 235,31,70 
157,38,43 122,220,59 133,245,85 57,34,162 179,3,92 219,202,3 187,133,6 123,39,81 213,171,219 249,203,94 83,148,4 34,43,194 83,219,221 106,172,21 67,213,160 54,237,176 
4,180,157 187,137,68 182,28,121 231,98,222 13,24,118 219,164,192 139,240,127 250,247,155 214,43,198 93,158,172 86,44,139 105,99,125 169,238,194 19,134,63 251,32,219 100,205,221 
245,99,136 49,38,214 74,242,35 56,167,91 226,145,206 117,239,72 239,172,61 115,71,61 211,45,215 224,186,158 137,131,250 8,69,90 22,115,240 112,218,179 225,109,219 126,235,191 
227,61,95 121,224,224 38,51,145 65,214,102 209,49,167 15,171,42 197,231,121 38,45,52 163,204,241 15,219,179 39,194,78 38,121,81 101,94,26 152,40,159 90,166,251 109,165,219 
149,147,86 1,50,134 94,69,56 89,59,73 50,77,158 255,186,19 29,153,4 71,106,199 45,228,71 21,7,58 178,71,101 116,73,1 138,58,126 142,241,28 83,54,19 80,213,127 
65,47,92 164,193,160 204,137,249 28,229,235 20,239,83 165,163,241 128,240,11 38,163,138 98,205,218 218,7,178 86,178,133 213,12,200 142,199,22 245,29,253 84,28,96 55,133,66 
141,153,213 187,50,44 205,52,59 229,180,230 233,178,161 183,122,73 123,226,183 68,247,210 155,81,4 245,185,236 9,241,164 245,234,130 22,28,109 84,154,137 54,182,59 24,159,161 
109,148,65 186,248,52 49,207,113 238,88,139 148,87,224 60,20,25 51,112,158 136,141,119 131,79,0 213,167,201 163,84,146 42,92,244 88,173,26 174,95,47 150,231,19 221,30,152 
183,6,172 1,81,151 168,153,14 128,173,235 7,80,89 157,236,10 149,9,78 215,202,29 234,119,31 97,216,32 208,14,129 195,67,63 236,26,95 104,196,193 144,203,130 131,36,150 
